building_id,surface_m2,year_built,building_type,city,energy_consumption_kwh,co2_emissions_kg,energy_class
148,67.2,1987,Industrie,Lille,191.1,22.6,G
149,140.9,1994,Bureau,Lille,255.2,41.0,D
150,131.9,1984,Résidentiel,Toulouse,203.5,24.9,E
151,130.0,1979,Commerce,Paris,273.5,30.1,E
152,133.9,1979,Bureau,Nantes,153.7,38.2,C
153,92.8,1955,École,Lille,188.7,51.3,G
154,129.3,2016,Résidentiel,Paris,229.6,35.3,E
155,131.7,1956,École,Paris,145.7,35.3,B
156,91.4,2001,Résidentiel,Toulouse,132.6,43.9,A
157,194.6,1963,Commerce,Paris,142.2,35.6,B
158,139.0,2022,Commerce,Lyon,,42.6,C
159,72.3,1964,Industrie,Lyon,211.4,47.9,F
160,146.3,1970,École,Marseille,69.9,,C
161,,1984,Résidentiel,Toulouse,86.6,5.0,A
162,151.5,2015,Commerce,Nantes,291.8,25.2,E
163,166.3,1951,Bureau,Marseille,136.5,49.5,G
164,87.2,1984,Commerce,Lyon,192.0,34.6,G
165,158.5,1969,Bureau,Marseille,90.7,30.9,D
166,136.5,1959,Résidentiel,Toulouse,185.6,49.0,C
167,152.9,1974,Commerce,Toulouse,136.9,33.8,A
168,,2015,Commerce,Paris,86.2,9.9,D
169,,1974,Résidentiel,Lille,,16.9,E
170,89.9,2003,Commerce,Paris,251.0,40.0,F
171,84.4,1982,Bureau,Toulouse,173.6,34.2,C
172,87.4,1985,Commerce,Lyon,240.0,52.5,F
173,,1963,École,Nantes,294.2,26.2,A
174,133.6,2014,Industrie,Lyon,225.2,31.3,F
175,131.1,2003,Bureau,Paris,208.8,24.4,F
176,153.1,2001,École,Nantes,191.9,28.8,A
177,120.5,1952,Résidentiel,Toulouse,,12.3,A
178,178.1,1990,Bureau,Lyon,158.2,,C
179,109.4,1955,Industrie,Toulouse,163.4,34.4,F
180,228.8,1974,Industrie,Nantes,207.1,33.4,D
181,145.0,1962,Résidentiel,Nantes,151.6,60.8,A
182,85.7,1957,Résidentiel,Lyon,158.1,,E
183,77.2,1970,Bureau,Toulouse,180.0,26.0,F
184,139.3,2017,Commerce,Marseille,249.0,10.5,A
185,111.1,1974,Résidentiel,Toulouse,112.0,33.8,D
186,148.6,2017,Commerce,Nantes,225.6,39.5,G
187,138.9,1994,École,Toulouse,227.5,24.7,C
188,117.1,2009,Industrie,Paris,227.1,25.3,F
189,86.1,1961,Commerce,Marseille,,54.0,G
190,59.4,1981,Industrie,Lille,,31.9,A
191,102.1,1962,Commerce,Paris,213.6,42.9,A
192,154.3,1980,École,Lille,191.3,23.8,E
193,128.6,1969,Résidentiel,Lyon,240.3,34.3,E
194,70.2,1967,École,Lille,138.0,31.0,F
195,126.9,2009,Résidentiel,Toulouse,,26.9,G
196,135.4,2012,Résidentiel,Lille,243.3,48.9,G
197,84.6,1955,Industrie,Nantes,174.3,,A
198,126.1,1981,École,Paris,205.0,38.6,F
199,122.3,1992,Commerce,Paris,202.9,30.7,A
200,74.3,1951,École,Lille,130.7,40.0,E
201,,2009,Industrie,Paris,211.9,30.9,D
202,142.4,1972,Résidentiel,Nantes,277.3,45.4,B
203,,1980,Industrie,Paris,181.3,,B
204,162.2,1954,Bureau,Lille,92.3,48.9,A
205,64.9,1983,Bureau,Marseille,138.8,34.7,G
206,82.5,1959,Commerce,Marseille,73.2,19.1,E
207,140.6,1951,Industrie,Lyon,257.4,43.2,C
208,140.6,1960,Commerce,Paris,225.8,32.6,C
209,140.6,1999,Commerce,Lille,149.9,14.5,B
210,274.1,1980,Bureau,Paris,94.9,39.0,D
211,142.8,2005,Commerce,Toulouse,,47.1,B
212,165.4,2022,Bureau,Nantes,141.7,50.4,A
213,158.2,1958,Résidentiel,Paris,186.6,30.5,D
214,146.1,1970,Industrie,Paris,184.5,36.7,C
215,107.4,2022,Commerce,Marseille,260.5,35.6,G
216,,1977,Bureau,Nantes,,52.9,E
217,89.1,2011,École,Lille,89.5,25.3,E
218,110.5,1956,Commerce,Paris,110.6,29.4,A
219,100.6,1965,Résidentiel,Marseille,178.6,25.0,B
220,123.3,1953,Résidentiel,Lyon,136.3,17.6,A
221,212.6,1953,École,Nantes,162.5,38.0,E
222,45.3,1989,Bureau,Marseille,152.8,54.2,C
223,147.5,1966,Commerce,Marseille,,,E
224,55.5,2001,Bureau,Marseille,,24.4,D
225,101.1,2001,Résidentiel,Paris,,37.2,G
226,163.6,1985,Bureau,Paris,,42.1,G
227,122.6,1987,Résidentiel,Lyon,146.1,33.1,F
228,76.9,1999,Bureau,Toulouse,205.4,51.8,E
229,91.4,2012,École,Toulouse,199.9,25.3,E
230,,2012,Industrie,Toulouse,188.5,31.6,G
231,90.8,2011,École,Nantes,111.9,38.6,F
232,128.7,1956,École,Nantes,253.8,39.7,D
233,121.8,1976,Industrie,Lyon,313.2,35.6,B
234,93.9,1963,Industrie,Nantes,180.5,19.7,E
235,205.8,2020,Commerce,Toulouse,117.2,63.1,G
236,145.4,1954,Commerce,Toulouse,181.7,32.2,A
237,39.0,2004,École,Marseille,239.4,,E
238,127.5,1951,École,Nantes,143.1,42.4,A
239,,2011,Résidentiel,Paris,172.3,27.4,D
240,,1970,Résidentiel,Paris,200.4,35.7,E
241,88.3,1970,Commerce,Marseille,252.2,26.9,G
242,115.4,1959,Commerce,Marseille,226.5,40.0,D
243,140.2,2007,Résidentiel,Marseille,229.0,31.7,D
244,154.6,1988,Résidentiel,Paris,154.4,38.2,B
245,72.0,1954,Bureau,Toulouse,204.1,22.4,E
246,106.6,2014,Bureau,Marseille,136.7,25.1,A
247,101.0,1962,Résidentiel,Lyon,230.7,18.6,A
248,93.9,2002,Bureau,Marseille,249.1,26.5,E
249,190.6,1994,Industrie,Lille,213.2,5.0,F
250,136.2,1981,Commerce,Marseille,158.0,,B
251,69.6,1985,Commerce,Paris,167.8,28.6,B
252,156.7,2009,Résidentiel,Nantes,288.4,36.8,B
253,204.9,1960,École,Marseille,159.0,35.5,A
254,161.3,2012,Résidentiel,Nantes,243.0,50.1,D
255,59.2,1970,Bureau,Lille,200.3,66.1,G
256,100.6,2001,École,Lyon,160.0,48.7,F
257,170.7,2004,Bureau,Nantes,99.3,29.6,B
258,91.7,1975,Industrie,Toulouse,192.7,29.1,A
259,137.8,2017,Bureau,Marseille,185.5,45.4,A
260,151.0,1983,Industrie,Lille,,14.8,D
261,,2001,Industrie,Lille,128.4,,E
262,117.6,2001,Bureau,Nantes,317.7,32.1,E
263,,1978,Bureau,Lyon,202.7,42.0,G
264,79.0,1987,Industrie,Paris,202.7,42.4,G
265,109.9,1991,École,Marseille,144.4,26.1,B
266,70.1,1970,Industrie,Lille,198.9,30.0,G
267,185.3,1991,Commerce,Lyon,208.4,40.3,B
268,62.8,1962,Industrie,Toulouse,236.2,25.4,F
269,102.4,2013,École,Lille,121.3,49.5,G
270,125.2,1966,Commerce,Lyon,264.4,42.3,D
271,177.7,1958,Résidentiel,Paris,201.7,37.1,B
272,62.6,1990,Résidentiel,Paris,216.5,39.7,D
273,166.5,1950,École,Lille,166.7,29.4,A
274,120.4,1951,Industrie,Lille,124.3,27.5,B
275,80.7,2009,Bureau,Nantes,184.4,29.9,A
276,138.5,1997,École,Marseille,191.2,41.0,C
277,128.0,1978,Commerce,Lyon,96.9,37.4,D
278,96.0,1959,Commerce,Lille,227.6,29.9,C
279,122.8,2007,Résidentiel,Marseille,239.8,44.0,B
280,104.6,2009,Commerce,Nantes,,32.9,A
281,124.5,1970,École,Marseille,118.6,26.7,B
282,146.5,1977,Commerce,Lille,161.8,38.1,C
283,183.4,1983,École,Paris,181.4,22.8,B
284,70.5,1957,Bureau,Lyon,164.1,14.8,F
285,205.3,2008,Résidentiel,Lyon,176.3,34.9,E
286,41.9,2021,Commerce,Paris,193.3,27.1,C
287,113.9,1998,École,Lille,97.9,32.0,B
288,143.5,1966,Industrie,Lyon,104.8,23.4,A
289,131.2,2009,Résidentiel,Lille,40.0,49.5,B
290,95.1,1994,Bureau,Nantes,236.6,27.1,A
291,111.7,2018,École,Lille,180.9,29.8,E
292,100.3,1981,Bureau,Marseille,242.9,39.5,B
293,96.4,1993,Bureau,Paris,111.7,18.5,G
294,154.0,2014,Commerce,Lille,181.5,17.6,G
295,134.3,1957,Commerce,Nantes,192.9,39.6,E
296,92.3,2021,École,Toulouse,146.3,29.7,C
297,156.0,1992,Industrie,Paris,86.8,24.2,A
298,132.3,1950,École,Lyon,,,G
299,152.5,2000,Industrie,Marseille,,25.3,F
300,145.2,1973,Bureau,Lyon,157.1,31.7,C
301,86.8,1973,Résidentiel,Nantes,210.6,24.2,A
302,,1966,École,Nantes,,38.6,E
303,149.9,1954,École,Lyon,120.3,51.0,G
304,144.4,1969,Industrie,Paris,289.6,12.7,D
305,,1970,Bureau,Lyon,80.7,36.4,B
306,124.7,2007,Bureau,Lille,162.9,45.3,E
307,171.1,1980,Industrie,Lyon,185.1,29.9,A
308,96.3,1960,Bureau,Marseille,279.1,21.4,A
309,141.9,2001,Commerce,Marseille,233.8,40.1,A
310,111.9,1964,Résidentiel,Toulouse,79.7,47.0,A
311,111.3,1956,École,Marseille,179.8,45.7,B
312,164.0,1977,Résidentiel,Lyon,181.3,39.4,C
313,153.0,2000,École,Marseille,166.3,36.2,F
314,152.5,2007,Commerce,Paris,217.2,24.2,D
315,172.2,1954,Bureau,Marseille,95.5,45.4,B
316,120.8,1954,Industrie,Lille,155.5,44.7,A
317,147.3,1957,Commerce,Paris,208.7,21.3,B
318,107.6,2013,Résidentiel,Toulouse,220.8,39.4,E
319,133.0,1959,Industrie,Lille,189.0,42.8,F
320,114.8,1987,Bureau,Lyon,162.7,45.6,A
321,,1957,Commerce,Lyon,172.8,34.1,D
322,143.8,1974,Industrie,Lyon,224.4,24.7,A
323,87.3,2022,Commerce,Lille,182.0,29.0,F
324,203.7,2015,Commerce,Lille,117.5,22.9,D
325,79.8,1999,Bureau,Lille,106.0,34.4,F
326,,2016,École,Paris,90.6,32.0,D
327,166.3,1998,Industrie,Nantes,267.3,60.7,C
328,151.7,1985,Bureau,Paris,228.4,45.7,G
329,145.0,2017,Commerce,Lyon,173.6,46.6,C
330,145.1,1990,Bureau,Nantes,,,B
331,119.5,2011,École,Marseille,145.6,30.6,B
332,84.1,1959,Industrie,Lyon,245.6,,D
333,123.0,1970,École,Toulouse,294.3,32.8,A
334,92.9,1985,Résidentiel,Paris,143.7,37.3,G
335,,1961,Industrie,Lille,248.3,39.7,E
336,114.1,1951,École,Paris,181.7,35.0,E
337,87.0,1962,Commerce,Lille,167.3,31.5,A
338,107.1,2002,Industrie,Nantes,270.3,27.9,A
339,136.5,1981,Industrie,Toulouse,179.4,18.3,C
340,,1965,Bureau,Nantes,197.8,50.4,E
341,87.1,1981,Commerce,Toulouse,194.9,61.5,D
342,129.7,1981,Résidentiel,Paris,82.5,49.4,F
343,129.8,1960,École,Lille,197.3,19.9,B
344,99.7,1959,Bureau,Nantes,146.2,44.4,F
345,101.2,1964,École,Toulouse,94.7,47.3,C
346,129.3,1966,Résidentiel,Lyon,149.0,30.2,E
347,62.1,1989,Résidentiel,Lyon,148.5,40.9,G
348,63.7,1967,Industrie,Nantes,241.8,29.5,A
349,91.3,2004,Résidentiel,Lille,116.2,53.3,G
350,,2022,École,Nantes,132.6,39.4,G
351,132.4,1974,Commerce,Paris,194.1,24.0,E
352,179.0,2008,Commerce,Toulouse,100.5,43.0,D
353,154.3,1971,Industrie,Paris,140.5,,C
354,113.6,1979,École,Lyon,80.1,37.4,A
355,119.2,1993,École,Toulouse,235.2,40.8,F
356,79.9,1981,Résidentiel,Nantes,161.9,34.2,D
357,119.3,2000,École,Paris,179.0,21.4,F
358,108.5,1995,Bureau,Marseille,235.0,33.2,B
359,132.9,1970,Résidentiel,Lille,136.7,41.3,C
360,86.9,1981,Bureau,Lille,161.3,33.5,D
361,140.8,1988,Industrie,Marseille,116.6,44.6,D
362,181.3,1961,Commerce,Lyon,116.5,30.3,F
363,115.6,1996,Industrie,Toulouse,,31.1,A
364,136.1,1967,Commerce,Lille,150.5,45.0,B
365,147.6,1970,Industrie,Marseille,156.9,37.7,F
366,104.0,1962,École,Nantes,197.3,,D
367,,1970,Bureau,Marseille,126.5,47.4,C
368,120.5,1957,Commerce,Lyon,199.2,26.7,D
369,123.9,1995,Résidentiel,Lyon,209.1,26.3,E
370,89.1,1956,Bureau,Paris,151.9,5.0,C
371,121.0,1972,Résidentiel,Lille,131.7,28.4,C
372,139.9,1971,Bureau,Paris,185.1,50.7,D
373,178.0,1971,Bureau,Marseille,167.8,,A
374,158.4,1978,Industrie,Toulouse,193.2,23.6,C
375,206.1,1962,Commerce,Toulouse,274.2,40.3,E
376,89.3,1951,Commerce,Lyon,184.1,8.1,F
377,,1978,Bureau,Toulouse,141.6,28.9,A
378,127.3,2001,École,Toulouse,126.5,48.7,A
379,207.6,1976,École,Toulouse,128.9,59.5,A
380,,1999,Résidentiel,Marseille,92.2,,C
381,86.4,1972,Résidentiel,Toulouse,236.0,23.9,A
382,96.0,1993,Industrie,Nantes,46.0,23.5,D
383,35.0,1971,Bureau,Toulouse,209.3,36.7,A
384,99.0,1992,Résidentiel,Toulouse,127.9,,E
385,89.6,1986,Résidentiel,Paris,149.3,57.3,B
386,126.0,2010,Bureau,Marseille,126.1,46.6,E
387,133.7,2005,Industrie,Lyon,266.8,36.0,C
388,195.0,1952,Résidentiel,Paris,181.0,,A
389,,2012,Industrie,Lille,227.4,71.2,A
390,96.9,1968,Commerce,Marseille,258.0,,D
391,84.1,1972,Industrie,Nantes,189.8,27.0,F
392,139.7,1978,École,Marseille,108.3,32.3,A
393,67.2,1979,École,Lille,166.8,24.5,G
394,193.3,1988,Industrie,Lille,135.5,6.1,E
395,167.2,1974,École,Lille,149.8,38.8,C
396,101.2,1957,Commerce,Lyon,174.3,56.4,B
397,51.5,2007,Bureau,Toulouse,172.0,15.4,A
398,174.2,1965,École,Marseille,204.7,,B
399,115.4,2021,École,Toulouse,213.4,,A
400,169.5,1950,Industrie,Toulouse,,41.3,C
401,56.2,1954,Commerce,Nantes,204.2,32.9,F
402,96.0,1952,Bureau,Lille,147.0,18.7,E
403,120.2,2014,Industrie,Lyon,258.9,23.2,C
404,121.9,1953,Industrie,Nantes,146.1,25.0,B
405,102.0,2013,Commerce,Paris,251.8,51.1,A
406,144.9,1959,Bureau,Lyon,91.4,50.5,B
407,77.3,1970,Commerce,Toulouse,157.2,31.3,E
408,114.3,1995,Bureau,Lyon,160.1,49.7,G
409,124.8,1976,Commerce,Lille,196.7,32.9,C
410,140.6,2015,Industrie,Paris,231.7,31.1,B
411,148.5,1990,Industrie,Lille,105.0,35.7,B
412,75.0,1962,Résidentiel,Paris,113.5,38.4,E
413,58.6,1958,École,Nantes,95.9,28.3,G
414,171.1,1985,Commerce,Toulouse,259.2,35.3,A
415,133.3,2007,Résidentiel,Paris,197.9,44.4,G
416,,2003,École,Paris,114.9,36.6,B
417,182.0,1961,Commerce,Paris,153.4,35.5,E
418,124.6,1963,Bureau,Lyon,250.9,40.9,A
419,167.2,1983,École,Nantes,163.3,43.0,G
420,122.7,2002,Industrie,Lyon,159.8,,G
421,202.4,1969,Résidentiel,Toulouse,133.1,29.3,G
422,190.2,1965,École,Paris,118.5,37.3,F
423,110.0,2019,École,Nantes,,15.9,A
424,158.9,2005,Industrie,Nantes,280.4,32.5,G
425,145.8,2007,Commerce,Marseille,120.9,5.3,F
426,174.7,1953,Bureau,Toulouse,264.3,14.9,C
427,81.4,1953,Industrie,Nantes,150.8,13.1,E
428,147.4,1969,Bureau,Paris,212.0,47.6,G
429,162.3,1959,Commerce,Paris,264.6,35.2,A
430,49.7,1973,École,Nantes,171.3,19.9,F
431,72.7,1975,Bureau,Lyon,160.3,40.9,F
432,38.4,1986,Résidentiel,Toulouse,228.1,46.9,C
433,,2003,Résidentiel,Paris,113.4,41.1,D
434,148.7,1970,Industrie,Nantes,248.8,,E
435,180.1,1987,Commerce,Paris,188.6,37.8,D
436,123.0,1995,Industrie,Nantes,145.3,45.8,A
437,185.1,1953,Industrie,Toulouse,143.7,29.4,E
438,64.8,2009,Industrie,Nantes,97.0,35.4,C
439,,2006,Résidentiel,Marseille,147.8,31.9,A
440,117.8,1994,Résidentiel,Nantes,164.2,15.6,E
441,135.4,1969,Industrie,Nantes,116.3,46.0,E
442,,1966,Résidentiel,Toulouse,177.3,59.7,D
443,37.3,2020,Commerce,Nantes,208.4,24.5,A
444,116.4,1953,Industrie,Toulouse,167.2,46.6,C
445,67.8,1963,Résidentiel,Marseille,,24.9,C
446,146.8,1952,Bureau,Toulouse,131.6,36.6,A
447,134.7,2007,Industrie,Paris,240.2,53.1,A
448,82.4,2004,Industrie,Toulouse,187.3,,F
449,99.4,1953,Commerce,Marseille,272.7,34.8,B
450,77.6,1973,École,Lille,,13.4,D
451,,1983,École,Nantes,,27.0,A
452,158.2,1979,Commerce,Toulouse,154.3,12.1,A
453,80.6,1968,Commerce,Nantes,165.2,40.2,B
454,140.2,1980,Commerce,Lyon,215.7,45.0,B
455,98.8,2009,École,Paris,259.6,32.3,E
456,,2009,Commerce,Paris,140.8,38.4,G
457,115.7,1968,Résidentiel,Lyon,,31.1,C
458,78.6,1998,Industrie,Lyon,171.8,43.9,D
459,97.9,2012,Industrie,Toulouse,217.1,36.6,E
460,72.1,1971,Bureau,Lyon,270.6,11.2,A
461,198.6,1973,Bureau,Lille,165.6,46.3,B
462,121.4,1979,Industrie,Nantes,79.8,30.3,F
463,92.0,2007,Résidentiel,Nantes,224.6,19.8,C
464,128.6,1980,École,Marseille,130.0,29.7,E
465,115.5,2013,École,Lyon,171.4,12.2,F
466,111.2,1968,Résidentiel,Lyon,227.2,20.0,C
467,144.6,1997,École,Lille,197.8,,G
468,150.3,1994,Commerce,Paris,173.9,37.7,G
469,98.8,2004,Industrie,Paris,145.4,38.7,F
470,97.0,2004,Industrie,Nantes,40.0,35.0,B
471,109.0,1967,Résidentiel,Nantes,221.9,26.7,E
472,27.9,2012,École,Toulouse,164.8,,E
473,59.4,1996,Bureau,Lille,270.8,29.8,G
474,174.7,2006,Bureau,Marseille,203.9,15.5,C
475,185.8,1994,École,Marseille,147.5,25.7,F
476,110.0,1982,Bureau,Lille,244.0,45.7,B
477,143.1,1966,Résidentiel,Marseille,249.1,54.1,A
478,132.5,2019,Résidentiel,Paris,166.9,42.8,E
479,243.2,1953,École,Marseille,251.6,53.5,A
480,164.8,1969,Bureau,Marseille,146.7,,B
481,,1996,Résidentiel,Lille,189.6,,G
482,81.8,1964,Résidentiel,Lille,214.3,59.7,E
483,,2019,Commerce,Marseille,227.1,14.2,E
484,128.1,1996,Commerce,Lyon,217.3,37.7,F
485,89.7,1958,Résidentiel,Lille,160.0,36.0,A
486,63.1,1965,École,Toulouse,245.6,29.9,G
487,94.1,2018,Industrie,Toulouse,172.5,40.9,F
488,76.7,2010,Industrie,Paris,,35.5,D
489,187.5,1959,Résidentiel,Marseille,146.7,26.2,A
490,155.3,1999,Résidentiel,Lyon,296.4,34.7,A
491,119.7,1952,Résidentiel,Paris,135.5,49.5,D
492,179.2,2019,École,Marseille,257.5,37.2,B
493,123.1,2000,Commerce,Lille,111.9,42.5,B
494,85.5,1968,Résidentiel,Toulouse,209.3,31.7,E
495,180.9,1991,Résidentiel,Nantes,,40.4,C
496,141.6,1984,Bureau,Lyon,277.3,20.5,F
497,78.5,1995,École,Nantes,140.7,29.0,C
